id;numero_contrat_collectif;migre;code_entite_rattachement;code_centre_gestion;code_groupe_gestion;code_reseau_distribution;type_contrat_collectif;etat_contrat;date_effet_premiere_souscription;date_effet_derniere_resiliation;motif_resiliation;code_nature_couverture;code_offre;numero_version_offre;echeance_principale;code_organisme_porteur_risque;indicateur_porteur_risque;code_organisme_producteur_fiche_dsn;code_organisme_delegataire_cotisations;code_organisme_delegataire_prestations;date_premier_mois_cotisation_autorise;numero_operation_niveau_0;statut
1;behind;atomize buttery;warp pro;marksman powerfully boastfully;keel ruddy;sonata dental likely;eventually hence steel;fuzzy once fearless;2025-07-21;2025-07-21;forenenst;before sinful notwithstanding;intrigue;account gah instead;who hairy valley;a;unlike ascribe singing;wee designation affect;lively as throughout;underneath little;why;10614;haze oof reconsideration
2;enormously save smuggle;after;impanel;loudly mountain helpfully;brr;outsource;for pish;in or abnegate;2025-07-22;2025-07-22;slink indolent alongside;french along;gummy lest;whose overfeed;often versus;snappy highlight intellect;afore;yippee;or;below formation writ;silently incidentally lone;826;short-term if blah
3;bandwidth after gah;circa;parsnip however now;unlike factorise reboot;jealous enormously;rigidly;anenst ceramics because;separately glum;2025-07-22;2025-07-22;ameliorate aw hmph;bah yellowish;dreary;amongst;since bah between;finally tentacle unlike;alligator flight indolent;hastily even exalt;very;vaguely upward rusty;beyond bony browse;22275;fully mosh yahoo
4;confound inside majestically;wallop sarong;damp excluding though;ironclad;circa;option hearten agreement;zowie;fathom like thorny;2025-07-22;2025-07-21;descendant mmm yippee;indeed;lava what;unless;anneal;whereas;unethically unlined;premium huzzah unless;list;eek;for;26955;premise
5;longboat oh;expert;hastily furthermore since;aside riser sizzle;chow if gerbil;rough on;amid regularly mature;blah wherever ouch;2025-07-21;2025-07-22;guest near;linseed innocent;tight enrich;ignorant atrium times;smoothly modulo;husk;pfft whose grandson;across while;receptor;gah pfft;interestingly pale how;4378;underneath till accomplished
6;colorfully;chapel hydrant malfunction;until;against;not anenst anti;flowery stuff;psst;between sedately;2025-07-21;2025-07-21;SUV;why intent burgeon;gee;intently;happily;fog yahoo;boohoo jut;place until before;while geez round;why off;fooey;19341;hm pecan diligently
7;or chime but;upward guidance courageous;ouch;ha wherever behind;international;gee deeply;indeed flickering till;busily although beyond;2025-07-21;2025-07-21;usefully plus;creature;devise jittery;litter behind likewise;meanwhile by bah;in stratify;alert;intermesh;obnoxiously;er;eminent gasp;17033;comestible
8;vol probe;elegantly transcend psst;meanwhile;overdue lined glossy;steak recount SUV;outdo;deeply;untimely;2025-07-22;2025-07-22;sunbeam absentmindedly;slake reapply corrupt;gah pace atop;pfft;punctually meanwhile;behind gee;instantly;ha pertain;ham hm um;acceptable the;peter svelte slip;13501;carefully
9;likewise rapidly never;hence phrase likewise;readily;shear whenever;dense membership consequently;honestly worth;come er;angrily blink inwardly;2025-07-21;2025-07-21;above inasmuch ha;questionable brave;swiftly;scrape knottily gigantic;anenst after respectful;substantial pfft mockingly;galoshes modulo yahoo;rosemary because square;if tray until;boohoo;under while;32558;possession best-seller gah
10;acidly;consequently unblinking;both woot;urgently;godparent chairperson upon;dazzling idle;zowie maestro drat;splash;2025-07-21;2025-07-22;irritably;deceivingly;cultivated dependency always;jaywalk punctually at;statement;amongst loyally;obligation;soon;yuck;horst;bah misguided aside;15015;physically whup
